,Text,Ground-Truth,Rank,All-Ranks,Prediction,Candidates,LR-distances,LD-distances,LRD-distances,LARD-distances
1788,An unpeeled Russet potato.,potato_4_1,0,[0 3 2 1 4],potato_4_1,['potato_4_1' 'apple_1_5' 'soda_bottle_4_3' 'plate_3_4' 'plate_4_2'],[0.47 0.55 0.54 0.53 0.59],[0.49 0.57 0.52 0.49 0.54],[0.48 0.56 0.53 0.51 0.56],[0.36 0.56 0.62 0.49 0.53]
1789,It looks like there is a potato on the table. It is very small and yellowish.,potato_4_1,0,[0 3 4 2 1],potato_4_1,"['potato_4_1' 'medicine_bottle_1_2' 'screwdriver_2_2' 'flashlight_2_3'
 'gauze_2_2']",[0.48 0.56 0.58 0.45 0.52],[0.5  0.53 0.57 0.59 0.5 ],[0.49 0.55 0.58 0.52 0.51],[0.42 0.49 0.61 0.57 0.55]
1790,This is a blue bottle with a gold colored cap.,shampoo_5_2,3,[3 1 0 4 2],bell_pepper_1_1,"['shampoo_5_2' 'measuring_tape_2_4' 'bell_pepper_1_1' 'coffee_mug_4_3'
 'food_jar_4_1']",[0.55 0.53 0.53 0.63 0.57],[0.55 0.52 0.51 0.56 0.52],[0.55 0.53 0.52 0.6  0.55],[0.44 0.52 0.51 0.48 0.42]
1791,This is a yellow banana.,banana_3_4,2,[2 4 0 3 1],potato_1_1,['banana_3_4' 'toothpaste_3_4' 'potato_1_1' 'book_1_4' 'potato_3_4'],[0.56 0.57 0.52 0.57 0.53],[0.51 0.64 0.5  0.57 0.53],[0.53 0.6  0.51 0.57 0.53],[0.53 0.67 0.47 0.68 0.45]
1792,this is a blue plastic bottle with gold cap.,shampoo_5_2,0,[0 1 3 2 4],shampoo_5_2,['shampoo_5_2' 'syringe_2_4' 'lemon_3_4' 'pencil_1_3' 'plate_3_4'],[0.36 0.65 0.76 0.64 0.77],[0.51 0.58 0.75 0.62 0.76],[0.44 0.62 0.75 0.63 0.76],[0.41 0.6  0.64 0.63 0.59]
1793,this is a banana.,banana_3_4,0,[0 4 1 2 3],banana_3_4,"['banana_3_4' 'toothpaste_1_3' 'food_can_5_2' 'flashlight_1_3'
 'syringe_2_4']",[0.29 0.71 0.49 0.54 0.84],[0.51 0.77 0.54 0.75 0.52],[0.4  0.74 0.52 0.64 0.68],[0.4  0.77 0.52 0.64 0.66]
1794,This is a jar of something. I am not sure what.,shampoo_5_2,0,[0 1 2 3 4],shampoo_5_2,['shampoo_5_2' 'lightbulb_2_4' 'lemon_3_4' 'coffee_mug_3_1' 'potato_4_1'],[0.37 0.53 0.53 0.48 0.59],[0.34 0.45 0.51 0.67 0.6 ],[0.35 0.49 0.52 0.58 0.6 ],[0.36 0.52 0.6  0.64 0.64]
1795,This is a banana. It has a lot of potassium.,banana_3_4,0,[0 1 4 3 2],banana_3_4,"['banana_3_4' 'picture_frame_4_2' 'pencil_1_1' 'scissors_6_1'
 'lightbulb_5_2']",[0.39 0.72 0.72 0.61 0.73],[0.65 0.47 0.8  0.78 0.65],[0.52 0.6  0.76 0.7  0.69],[0.46 0.6  0.74 0.67 0.6 ]
1796,A blue plastic container.,shampoo_5_2,0,[0 3 2 1 4],shampoo_5_2,"['shampoo_5_2' 'flashlight_2_1' 'soda_bottle_4_1' 'pliers_2_3'
 'pencil_4_4']",[0.39 0.52 0.49 0.5  0.53],[0.42 0.56 0.5  0.47 0.58],[0.41 0.54 0.49 0.48 0.56],[0.4  0.59 0.39 0.58 0.64]
1797,A banana in its peel.,banana_3_4,0,[0 2 4 1 3],banana_3_4,"['banana_3_4' 'apple_1_2' 'cell_phone_2_2' 'hammer_1_3'
 'picture_frame_5_3']",[0.31 0.48 0.71 0.44 0.62],[0.49 0.51 0.64 0.52 0.66],[0.4  0.49 0.67 0.48 0.64],[0.5  0.5  0.64 0.54 0.66]
1798,a blue plastic bottle of shampoo,shampoo_5_2,0,[0 1 4 3 2],shampoo_5_2,"['shampoo_5_2' 'prescription_medicine_bottle_2_4' 'food_can_3_2'
 'band_aid_2_4' 'syringe_5_1']",[0.31 0.52 0.62 0.58 0.47],[0.46 0.53 0.6  0.63 0.68],[0.38 0.52 0.61 0.61 0.57],[0.41 0.51 0.54 0.59 0.52]
1799,a yellow bananna,banana_3_4,0,[0 4 1 3 2],banana_3_4,"['banana_3_4' 'syringe_5_1' 'hammer_5_1' 'measuring_tape_4_1'
 'screwdriver_5_1']",[0.33 0.88 0.64 0.7  0.8 ],[0.56 0.79 0.68 0.77 0.65],[0.44 0.84 0.66 0.73 0.72],[0.41 0.79 0.59 0.69 0.67]
1800,Here is a bottle of shampoo. It is blue with a gold cap.,shampoo_5_2,1,[1 0 2 4 3],soda_bottle_4_3,['shampoo_5_2' 'soda_bottle_4_3' 'pill_cutter_1_4' 'lime_5_3' 'marker_6_3'],[0.32 0.33 0.67 0.72 0.61],[0.51 0.39 0.59 0.84 0.67],[0.42 0.36 0.63 0.78 0.64],[0.47 0.48 0.54 0.78 0.66]
1801,This is a yellow banana. It is straight instead of curved.,banana_3_4,0,[0 4 3 2 1],banana_3_4,"['banana_3_4' 'water_bottle_2_3' 'marker_4_4' 'stapler_4_4'
 'toothbrush_2_1']",[0.3  0.88 0.83 0.6  0.73],[0.56 0.94 0.84 0.77 0.62],[0.43 0.91 0.84 0.69 0.67],[0.41 0.8  0.71 0.65 0.58]
1802,This is a blue bottle of shampoo.,shampoo_5_2,0,[0 3 4 2 1],shampoo_5_2,['shampoo_5_2' 'potato_1_1' 'lime_1_1' 'sponge_1_3' 'onion_2_1'],[0.33 0.65 0.64 0.59 0.57],[0.48 0.6  0.72 0.55 0.55],[0.41 0.62 0.68 0.57 0.56],[0.41 0.67 0.66 0.55 0.63]
1803,"This is a yellow banana, and it is starting to get spots.",banana_3_4,0,[0 3 2 4 1],banana_3_4,['banana_3_4' 'mouse_1_1' 'food_can_2_2' 'marker_4_4' 'lemon_4_4'],[0.37 0.79 0.58 0.78 0.38],[0.57 0.67 0.5  0.84 0.56],[0.47 0.73 0.54 0.81 0.47],[0.51 0.76 0.53 0.88 0.44]
1804,a bottle that contains shampoo and conditioner,shampoo_5_2,0,[0 2 4 1 3],shampoo_5_2,"['shampoo_5_2' 'picture_frame_5_3' 'potato_1_1'
 'prescription_medicine_bottle_3_3' 'notebook_2_3']",[0.29 0.62 0.67 0.48 0.56],[0.43 0.51 0.62 0.44 0.65],[0.36 0.57 0.65 0.46 0.61],[0.34 0.54 0.66 0.45 0.62]
1805,a yellow fruit that grows in bunches,banana_3_4,0,[0 1 3 2 4],banana_3_4,['banana_3_4' 'lightbulb_4_3' 'spoon_1_3' 'onion_3_4' 'plate_3_1'],[0.3  0.46 0.57 0.55 0.55],[0.48 0.38 0.49 0.44 0.56],[0.39 0.42 0.53 0.5  0.56],[0.42 0.48 0.52 0.55 0.61]
1806,It is a blue plastic bottle with a gold cap of what looks to be like some type of shower product.,shampoo_5_2,0,[0 1 4 2 3],shampoo_5_2,['shampoo_5_2' 'food_jar_3_2' 'book_4_4' 'toothpaste_5_2' 'bowl_3_2'],[0.36 0.5  0.56 0.53 0.58],[0.45 0.45 0.65 0.54 0.56],[0.41 0.47 0.61 0.54 0.57],[0.43 0.46 0.68 0.6  0.51]
1807,It is a bruised yellow banana.,banana_3_4,0,[0 4 3 2 1],banana_3_4,['banana_3_4' 'book_5_4' 'screwdriver_5_1' 'allen_wrench_1_4' 'lemon_1_4'],[0.3  0.82 0.79 0.69 0.47],[0.55 0.75 0.66 0.7  0.51],[0.43 0.78 0.73 0.69 0.49],[0.4  0.81 0.68 0.66 0.38]
1808,A blue bottle of soap with a gold lid.,shampoo_5_2,0,[0 4 1 2 3],shampoo_5_2,['shampoo_5_2' 'marker_3_1' 'syringe_2_4' 'coffee_mug_1_1' 'lime_4_2'],[0.33 0.74 0.64 0.66 0.71],[0.42 0.63 0.53 0.64 0.61],[0.38 0.68 0.59 0.65 0.66],[0.42 0.54 0.56 0.63 0.67]
1809,A yellow banana.,banana_3_4,0,[0 1 3 4 2],banana_3_4,"['banana_3_4' 'lime_2_2' 'medicine_bottle_1_4' 'water_bottle_5_1'
 'bell_pepper_5_1']",[0.31 0.5  0.72 0.83 0.49],[0.56 0.56 0.68 0.73 0.65],[0.43 0.53 0.7  0.78 0.57],[0.45 0.49 0.61 0.67 0.5 ]
1810,This is a mug.  It is a good way to hold a liquid either hot or cold to drink.,coffee_mug_2_1,0,[0 3 4 2 1],coffee_mug_2_1,['coffee_mug_2_1' 'plate_4_2' 'syringe_4_1' 'marker_2_1' 'mouse_3_3'],[0.29 0.67 0.81 0.59 0.38],[0.27 0.62 0.89 0.54 0.56],[0.28 0.65 0.85 0.57 0.47],[0.33 0.51 0.74 0.49 0.42]
1811,This is a manual can opener. You attach it to the can top and there is a blade that opens the tin can,can_opener_4_4,3,[3 4 2 1 0],screwdriver_1_3,"['can_opener_4_4' 'shampoo_4_2' 'lemon_3_4' 'toothbrush_5_3'
 'screwdriver_1_3']",[0.48 0.75 0.6  0.5  0.55],[0.59 0.74 0.48 0.56 0.45],[0.54 0.74 0.54 0.53 0.5 ],[0.47 0.62 0.52 0.45 0.43]
1812,USE TO DRINK TEA OR COFFEE.,coffee_mug_2_1,0,[0 2 1 4 3],coffee_mug_2_1,"['coffee_mug_2_1' 'sponge_2_4' 'lightbulb_2_4' 'toothpaste_4_2'
 'lightbulb_5_2']",[0.32 0.6  0.61 0.65 0.73],[0.27 0.63 0.57 0.74 0.63],[0.29 0.61 0.59 0.69 0.68],[0.28 0.67 0.67 0.73 0.74]
1813,USE TO OPEN A STEEL CANS NOT A TIN.,can_opener_4_4,1,[1 2 4 3 0],food_jar_3_1,"['can_opener_4_4' 'flashlight_3_4' 'water_bottle_4_1' 'soda_bottle_2_4'
 'food_jar_3_1']",[0.49 0.71 0.76 0.66 0.51],[0.65 0.62 0.69 0.71 0.6 ],[0.57 0.67 0.72 0.69 0.56],[0.51 0.57 0.73 0.76 0.62]
1814,It is a black and yellow mug.,coffee_mug_2_1,0,[0 2 4 1 3],coffee_mug_2_1,['coffee_mug_2_1' 'bowl_4_2' 'stapler_1_1' 'hand_towel_1_4' 'lemon_2_4'],[0.27 0.7  0.77 0.49 0.82],[0.21 0.6  0.83 0.61 0.67],[0.24 0.65 0.8  0.55 0.75],[0.25 0.72 0.72 0.54 0.77]
1815,It is a silver and black can opener.,can_opener_4_4,1,[1 4 2 0 3],hammer_3_2,['can_opener_4_4' 'lime_2_2' 'lime_5_3' 'hammer_3_2' 'apple_1_2'],[0.41 0.64 0.45 0.43 0.56],[0.57 0.68 0.65 0.46 0.67],[0.49 0.66 0.55 0.44 0.61],[0.48 0.63 0.53 0.41 0.52]
1816,a black cup with a yellow interior,coffee_mug_2_1,0,[0 2 4 3 1],coffee_mug_2_1,"['coffee_mug_2_1' 'pencil_4_4' 'pencil_5_2' 'toothpaste_3_1'
 'hand_towel_1_4']",[0.27 0.62 0.73 0.62 0.5 ],[0.28 0.55 0.59 0.65 0.61],[0.28 0.59 0.66 0.64 0.55],[0.27 0.56 0.67 0.61 0.48]
1817,"a dark grey can opener, lying blade down",can_opener_4_4,2,[2 3 1 4 0],pencil_3_4,"['can_opener_4_4' 'plate_3_4' 'measuring_tape_2_4' 'coffee_mug_3_1'
 'pencil_3_4']",[0.51 0.75 0.58 0.81 0.39],[0.63 0.73 0.51 0.87 0.3 ],[0.57 0.74 0.54 0.84 0.35],[0.53 0.72 0.5  0.74 0.31]
1818,Object is a black a large cup with a handle and used without a saucer.,coffee_mug_2_1,0,[0 1 3 4 2],coffee_mug_2_1,['coffee_mug_2_1' 'pencil_2_1' 'pliers_2_3' 'gauze_2_2' 'cell_phone_1_2'],[0.43 0.56 0.64 0.75 0.57],[0.36 0.57 0.6  0.6  0.58],[0.4  0.56 0.62 0.68 0.58],[0.43 0.56 0.62 0.63 0.44]
1819,Object is a device used to open steel cans.,can_opener_4_4,1,[1 3 2 4 0],pencil_4_4,['can_opener_4_4' 'bell_pepper_2_2' 'marker_5_2' 'plate_3_4' 'pencil_4_4'],[0.45 0.47 0.69 0.78 0.41],[0.59 0.64 0.39 0.74 0.48],[0.52 0.55 0.54 0.76 0.45],[0.49 0.62 0.52 0.76 0.42]
1820,a black and yellow coffee mug,coffee_mug_2_1,0,[0 3 4 1 2],coffee_mug_2_1,['coffee_mug_2_1' 'scissors_2_3' 'pliers_5_3' 'cap_2_2' 'eye_glasses_1_2'],[0.23 0.78 0.8  0.57 0.73],[0.19 0.74 0.73 0.56 0.54],[0.21 0.76 0.76 0.56 0.63],[0.31 0.72 0.69 0.61 0.61]
1821,a black manual can opener,can_opener_4_4,0,[0 2 4 3 1],can_opener_4_4,"['can_opener_4_4' 'food_jar_2_3' 'tissue_box_1_4' 'water_bottle_3_3'
 'medicine_bottle_1_2']",[0.44 0.71 0.87 0.76 0.63],[0.58 0.63 0.88 0.76 0.61],[0.51 0.67 0.87 0.76 0.62],[0.47 0.63 0.74 0.66 0.54]
1822,Black holder of liquid used for consumption.,coffee_mug_2_1,0,[0 2 3 1 4],coffee_mug_2_1,"['coffee_mug_2_1' 'cap_1_2' 'lightbulb_5_2' 'picture_frame_5_1'
 'lemon_2_4']",[0.47 0.53 0.79 0.53 0.84],[0.39 0.57 0.55 0.55 0.67],[0.43 0.55 0.67 0.54 0.76],[0.33 0.62 0.72 0.5  0.74]
1823,Handtool used for the opening of metal cans that holds food.,can_opener_4_4,0,[0 2 4 3 1],can_opener_4_4,"['can_opener_4_4' 'soda_bottle_4_3' 'water_bottle_3_3' 'soda_bottle_5_2'
 'fork_5_1']",[0.41 0.71 0.73 0.69 0.56],[0.59 0.65 0.78 0.69 0.66],[0.5  0.68 0.76 0.69 0.61],[0.45 0.63 0.71 0.68 0.59]
1824,This is a black coffee mug with an orange interior,coffee_mug_2_1,0,[0 3 2 4 1],coffee_mug_2_1,"['coffee_mug_2_1' 'measuring_tape_5_1' 'fork_2_3' 'toothpaste_3_1'
 'flashlight_2_1']",[0.27 0.6  0.51 0.76 0.52],[0.18 0.66 0.69 0.81 0.43],[0.22 0.63 0.6  0.78 0.48],[0.24 0.65 0.58 0.71 0.42]
1825,This is a manual can opener with black handles,can_opener_4_4,0,[0 2 1 3 4],can_opener_4_4,"['can_opener_4_4' 'scissors_1_3' 'screwdriver_3_3' 'water_bottle_4_1'
 'book_2_4']",[0.39 0.68 0.5  0.77 0.77],[0.52 0.62 0.52 0.7  0.75],[0.45 0.65 0.51 0.73 0.76],[0.44 0.62 0.48 0.66 0.71]
1826,A black and yellow coffee mug.,coffee_mug_2_1,0,[0 4 1 2 3],coffee_mug_2_1,['coffee_mug_2_1' 'plate_5_4' 'book_4_4' 'picture_frame_2_1' 'cap_2_2'],[0.25 0.88 0.43 0.59 0.56],[0.19 0.56 0.42 0.55 0.58],[0.22 0.72 0.42 0.57 0.57],[0.23 0.74 0.38 0.51 0.59]
1827,A black hand held can opener.,can_opener_4_4,0,[0 3 4 2 1],can_opener_4_4,['can_opener_4_4' 'food_jar_4_1' 'book_2_4' 'banana_1_3' 'eye_glasses_4_1'],[0.39 0.64 0.72 0.5  0.49],[0.54 0.51 0.69 0.54 0.51],[0.47 0.58 0.7  0.52 0.5 ],[0.42 0.5  0.71 0.49 0.5 ]
1828,A coffee mug that is yellow on the inside and black on the outside.,coffee_mug_2_1,0,[0 1 2 3 4],coffee_mug_2_1,"['coffee_mug_2_1' 'food_can_2_1' 'pencil_1_1' 'eye_glasses_2_1'
 'food_jar_4_1']",[0.35 0.56 0.59 0.75 0.73],[0.26 0.46 0.64 0.52 0.68],[0.3  0.51 0.62 0.63 0.71],[0.32 0.51 0.73 0.61 0.69]
1829,A hand crank can opener with black and silver handles.,can_opener_4_4,1,[1 0 3 2 4],hammer_1_3,['can_opener_4_4' 'hammer_1_3' 'onion_4_4' 'pill_cutter_1_4' 'bowl_4_2'],[0.45 0.24 0.79 0.61 0.75],[0.52 0.41 0.41 0.51 0.84],[0.49 0.32 0.6  0.56 0.79],[0.46 0.37 0.58 0.53 0.7 ]
1830,On the table is a box of flexible fabric bandaids. The box is blue with white writing and 3 tan bandaids.,band_aid_2_4,0,[0 3 1 4 2],band_aid_2_4,"['band_aid_2_4' 'eye_glasses_1_2' 'stapler_3_2' 'onion_4_4'
 'toothpaste_4_2']",[0.14 0.67 0.59 0.57 0.55],[0.16 0.61 0.57 0.73 0.66],[0.15 0.64 0.58 0.65 0.61],[0.26 0.49 0.57 0.63 0.62]
1831,a box of bandages,band_aid_2_4,0,[0 1 3 2 4],band_aid_2_4,"['band_aid_2_4' 'tissue_box_1_4' 'allen_wrench_5_2' 'medicine_bottle_3_4'
 'measuring_tape_1_1']",[0.14 0.6  0.66 0.53 0.75],[0.14 0.49 0.6  0.57 0.74],[0.14 0.54 0.63 0.55 0.74],[0.15 0.61 0.64 0.52 0.75]
1832,"Applied directly to a wound in order to provide protection from the outer environment,  contain blood flow, and/or prevent infection.",band_aid_2_4,0,[0 4 3 1 2],band_aid_2_4,"['band_aid_2_4' 'banana_4_1' 'can_opener_3_4' 'food_jar_3_1'
 'water_bottle_4_4']",[0.19 0.84 0.72 0.58 0.6 ],[0.19 0.84 0.54 0.36 0.62],[0.19 0.84 0.63 0.47 0.61],[0.23 0.7  0.51 0.41 0.59]
1833,this is a box of assorted band-aids.,band_aid_2_4,0,[0 4 3 1 2],band_aid_2_4,"['band_aid_2_4' 'scissors_4_1' 'eye_glasses_2_1' 'food_jar_1_3'
 'medicine_bottle_1_4']",[0.16 0.77 0.68 0.48 0.41],[0.16 0.85 0.65 0.47 0.57],[0.16 0.81 0.66 0.48 0.49],[0.16 0.83 0.66 0.47 0.47]
1834,A blue box of bandaids.,band_aid_2_4,0,[0 3 2 1 4],band_aid_2_4,"['band_aid_2_4' 'mouse_1_1' 'coffee_mug_2_1' 'toothpaste_1_3'
 'scissors_5_1']",[0.14 0.48 0.39 0.46 0.79],[0.14 0.59 0.65 0.47 0.86],[0.14 0.54 0.52 0.46 0.82],[0.2  0.63 0.62 0.44 0.77]
1835,A blue box of bandaids of various sizes.,band_aid_2_4,0,[0 2 4 1 3],band_aid_2_4,"['band_aid_2_4' 'water_bottle_1_4' 'spoon_1_3' 'fork_5_1'
 'screwdriver_1_3']",[0.15 0.59 0.83 0.45 0.87],[0.16 0.73 0.79 0.59 0.7 ],[0.16 0.66 0.81 0.52 0.78],[0.18 0.63 0.73 0.46 0.7 ]
1836,The object is a package of bandages.,band_aid_2_4,0,[0 3 2 1 4],band_aid_2_4,"['band_aid_2_4' 'soda_bottle_5_4' 'lightbulb_3_1' 'coffee_mug_4_3'
 'soda_bottle_4_1']",[0.16 0.69 0.67 0.53 0.7 ],[0.17 0.64 0.62 0.5  0.8 ],[0.17 0.67 0.64 0.52 0.75],[0.16 0.67 0.67 0.53 0.74]
1837,A blue box of band-aids.,band_aid_2_4,0,[0 3 2 4 1],band_aid_2_4,['band_aid_2_4' 'mouse_2_3' 'potato_1_1' 'spoon_1_3' 'measuring_tape_2_1'],[0.14 0.6  0.65 0.9  0.54],[0.14 0.76 0.68 0.87 0.56],[0.14 0.68 0.67 0.88 0.55],[0.23 0.71 0.65 0.86 0.52]
1838,It is a box of band-aids,band_aid_2_4,0,[0 4 1 3 2],band_aid_2_4,"['band_aid_2_4' 'toothbrush_5_3' 'book_1_4' 'scissors_3_3'
 'can_opener_4_4']",[0.14 0.69 0.58 0.71 0.58],[0.13 0.81 0.46 0.72 0.7 ],[0.13 0.75 0.52 0.72 0.64],[0.17 0.65 0.43 0.69 0.62]
1839,It is a blue package of bandages.,band_aid_2_4,0,[0 1 3 2 4],band_aid_2_4,"['band_aid_2_4' 'prescription_medicine_bottle_3_4' 'syringe_5_1'
 'banana_1_3' 'apple_1_5']",[0.16 0.46 0.73 0.74 0.79],[0.17 0.54 0.75 0.59 0.81],[0.17 0.5  0.74 0.66 0.8 ],[0.35 0.43 0.62 0.67 0.7 ]
1840,This is a green bell pepper,bell_pepper_3_1,0,[0 4 2 3 1],bell_pepper_3_1,"['bell_pepper_3_1' 'hammer_4_2' 'screwdriver_2_2' 'gauze_1_1'
 'can_opener_5_4']",[0.28 0.7  0.54 0.73 0.69],[0.18 0.68 0.75 0.56 0.59],[0.23 0.69 0.64 0.64 0.64],[0.3  0.65 0.64 0.67 0.58]
1841,A green bell pepper with a bruise on the top.,bell_pepper_3_1,0,[0 3 4 1 2],bell_pepper_3_1,['bell_pepper_3_1' 'hammer_6_2' 'notebook_2_3' 'band_aid_1_4' 'book_1_4'],[0.3  0.61 0.55 0.57 0.63],[0.32 0.67 0.75 0.65 0.61],[0.31 0.64 0.65 0.61 0.62],[0.32 0.58 0.61 0.65 0.58]
1842,This is a fresh green bell pepper.,bell_pepper_3_1,0,[0 2 3 4 1],bell_pepper_3_1,"['bell_pepper_3_1' 'food_can_5_2' 'lightbulb_5_2' 'food_can_4_3'
 'pencil_1_1']",[0.28 0.58 0.68 0.74 0.51],[0.18 0.57 0.48 0.76 0.5 ],[0.23 0.57 0.58 0.75 0.5 ],[0.31 0.57 0.54 0.75 0.45]
1843,this is a green pepper.,bell_pepper_3_1,0,[0 2 3 1 4],bell_pepper_3_1,"['bell_pepper_3_1' 'hammer_6_2' 'picture_frame_4_4' 'cap_1_2'
 'cell_phone_3_2']",[0.29 0.54 0.62 0.61 0.83],[0.18 0.7  0.69 0.61 0.73],[0.23 0.62 0.66 0.61 0.78],[0.34 0.57 0.62 0.51 0.67]
1844,It is a green paper,bell_pepper_3_1,1,[1 3 4 0 2],pill_cutter_1_4,"['bell_pepper_3_1' 'band_aid_1_1' 'water_bottle_2_4' 'pill_cutter_1_4'
 'can_opener_3_4']",[0.53 0.53 0.61 0.37 0.55],[0.46 0.63 0.63 0.42 0.51],[0.49 0.58 0.62 0.39 0.53],[0.45 0.6  0.6  0.46 0.53]
1845,A green bell pepper.,bell_pepper_3_1,0,[0 3 2 1 4],bell_pepper_3_1,"['bell_pepper_3_1' 'notebook_2_4' 'food_jar_4_1' 'toothpaste_3_1'
 'picture_frame_2_1']",[0.31 0.74 0.67 0.62 0.78],[0.21 0.58 0.6  0.52 0.72],[0.26 0.66 0.63 0.57 0.75],[0.29 0.62 0.58 0.58 0.7 ]
1846,This is a green bell pepper,bell_pepper_3_1,0,[0 1 3 4 2],bell_pepper_3_1,['bell_pepper_3_1' 'bowl_4_2' 'toothpaste_3_1' 'gauze_2_2' 'lightbulb_5_2'],[0.28 0.51 0.66 0.79 0.67],[0.18 0.52 0.56 0.56 0.49],[0.23 0.51 0.61 0.67 0.58],[0.32 0.47 0.56 0.6  0.52]
1847,"This object is green, it can be planted, and is great addition to salads and other dishes.",bell_pepper_3_1,0,[0 3 4 2 1],bell_pepper_3_1,"['bell_pepper_3_1' 'coffee_mug_5_1' 'flashlight_2_1' 'apple_2_3'
 'onion_4_4']",[0.36 0.51 0.76 0.4  0.38],[0.38 0.51 0.66 0.38 0.39],[0.37 0.51 0.71 0.39 0.39],[0.43 0.43 0.55 0.47 0.39]
1848,a green pepper,bell_pepper_3_1,0,[0 4 1 2 3],bell_pepper_3_1,['bell_pepper_3_1' 'pliers_1_3' 'bowl_4_2' 'food_can_5_2' 'lime_1_1'],[0.28 0.69 0.48 0.56 0.53],[0.2  0.82 0.5  0.56 0.6 ],[0.24 0.76 0.49 0.56 0.56],[0.26 0.76 0.49 0.59 0.56]
1849,It is a green bell pepper.,bell_pepper_3_1,0,[0 1 3 2 4],bell_pepper_3_1,"['bell_pepper_3_1' 'lightbulb_1_4' 'hammer_2_4' 'can_opener_1_4'
 'medicine_bottle_5_2']",[0.3  0.56 0.61 0.5  0.66],[0.2  0.44 0.55 0.61 0.72],[0.25 0.5  0.58 0.55 0.69],[0.29 0.45 0.58 0.5  0.61]
1850,a pair of black scissors,scissors_1_3,0,[0 3 1 4 2],scissors_1_3,"['scissors_1_3' 'cell_phone_1_2' 'mouse_2_3' 'picture_frame_4_4'
 'screwdriver_2_1']",[0.34 0.59 0.52 0.75 0.63],[0.55 0.67 0.53 0.56 0.47],[0.45 0.63 0.53 0.65 0.55],[0.52 0.65 0.59 0.58 0.59]
1851,This is a black pair of scissors.,scissors_1_3,0,[0 1 3 2 4],scissors_1_3,['scissors_1_3' 'flashlight_1_3' 'cell_phone_3_2' 'fork_2_3' 'lemon_1_4'],[0.33 0.49 0.7  0.75 0.8 ],[0.57 0.47 0.64 0.52 0.7 ],[0.45 0.48 0.67 0.64 0.75],[0.43 0.45 0.63 0.6  0.65]
1852,"This is a pair of black metal scissors, in a closed position. It has a small red tab on it, and may be in a locked position.",scissors_1_3,0,[0 4 3 1 2],scissors_1_3,"['scissors_1_3' 'water_bottle_2_3' 'banana_2_3' 'picture_frame_4_4'
 'lemon_2_4']",[0.38 0.81 0.76 0.76 0.7 ],[0.63 0.85 0.73 0.59 0.74],[0.5  0.83 0.74 0.68 0.72],[0.5  0.72 0.75 0.61 0.75]
1853,This looks like a nice sturdy pair of scissors. They can be used in our outside of the kitchen.,scissors_1_3,0,[0 3 1 4 2],scissors_1_3,['scissors_1_3' 'shampoo_1_2' 'toothbrush_4_2' 'pencil_3_4' 'sponge_1_3'],[0.41 0.73 0.5  0.66 0.52],[0.5  0.56 0.45 0.66 0.66],[0.46 0.65 0.47 0.66 0.59],[0.42 0.56 0.45 0.55 0.48]
1854,ITS USE FOR CUTTING PURPOSE,scissors_1_3,0,[0 3 1 4 2],scissors_1_3,"['scissors_1_3' 'food_can_1_4' 'screwdriver_2_1' 'band_aid_1_1'
 'lightbulb_1_4']",[0.36 0.78 0.53 0.81 0.79],[0.6  0.81 0.46 0.85 0.68],[0.48 0.79 0.49 0.83 0.73],[0.48 0.64 0.54 0.66 0.66]
1855,It is a pair of scissors,scissors_1_3,0,[0 3 2 4 1],scissors_1_3,"['scissors_1_3' 'lightbulb_3_1' 'cell_phone_2_2' 'coffee_mug_1_1'
 'pliers_3_4']",[0.34 0.83 0.49 0.85 0.45],[0.55 0.61 0.53 0.76 0.44],[0.44 0.72 0.51 0.81 0.44],[0.47 0.63 0.49 0.73 0.33]
1856,This is a pair of scissors. They look like them are made out of plastic and also appear to not be expensive.,scissors_1_3,0,[0 4 3 1 2],scissors_1_3,"['scissors_1_3' 'coffee_mug_5_2' 'coffee_mug_1_1' 'food_jar_3_2'
 'prescription_medicine_bottle_1_3']",[0.36 0.85 0.79 0.51 0.82],[0.53 0.89 0.72 0.52 0.52],[0.44 0.87 0.75 0.51 0.67],[0.4  0.72 0.64 0.48 0.59]
1857,This is a pair of black handled scissors,scissors_1_3,0,[0 4 2 3 1],scissors_1_3,"['scissors_1_3' 'water_bottle_2_3' 'banana_1_3' 'apple_5_4'
 'measuring_tape_2_1']",[0.3  0.78 0.63 0.78 0.59],[0.57 0.81 0.58 0.79 0.61],[0.44 0.79 0.6  0.79 0.6 ],[0.46 0.82 0.65 0.82 0.66]
1858,These are a pair of scissors. They're used to cut things.,scissors_1_3,0,[0 1 2 3 4],scissors_1_3,"['scissors_1_3' 'toothpaste_3_4' 'measuring_tape_1_3' 'toothpaste_5_2'
 'coffee_mug_3_1']",[0.32 0.56 0.51 0.45 0.95],[0.55 0.47 0.62 0.7  0.96],[0.43 0.51 0.56 0.57 0.95],[0.49 0.54 0.47 0.52 0.75]
1859,These are a pair of kitchen shears. They are black with a red knob.,scissors_1_3,0,[0 3 4 1 2],scissors_1_3,"['scissors_1_3' 'prescription_medicine_bottle_3_3' 'lemon_2_4'
 'eye_glasses_2_3' 'water_bottle_4_4']",[0.3  0.77 0.72 0.43 0.66],[0.57 0.68 0.74 0.47 0.65],[0.44 0.73 0.73 0.45 0.65],[0.45 0.75 0.75 0.46 0.68]
