,Text,Ground-Truth,Rank,All-Ranks,Prediction,Candidates,LR-distances,LD-distances,LRD-distances,ARD-distances,LARD-distances
2975,This is a can of pre cooked black beans. Its something you can store in your pantry because it has a long shelf life. All you have to do is open the can and pour its contents into a pan to or a bowl to heat it up.,food_can_2_2,0,[0 2 4 3 1],food_can_2_2,"['food_can_2_2' 'prescription_medicine_bottle_3_3' 'syringe_3_1'
 'band_aid_2_4' 'flashlight_2_1']",[0.19 0.41 0.63 0.4  0.35],[0.16 0.38 0.61 0.46 0.43],[0.17 0.39 0.62 0.43 0.39],[0.19 0.37 0.55 0.32 0.34],[0.18 0.38 0.59 0.38 0.36]
2976,A unopened can of Handover brand Black Beans.,food_can_2_2,0,[0 3 4 2 1],food_can_2_2,['food_can_2_2' 'lime_4_2' 'cell_phone_1_2' 'allen_wrench_4_3' 'fork_3_4'],[0.09 0.67 0.61 0.48 0.51],[0.11 0.59 0.67 0.59 0.56],[0.1  0.63 0.64 0.54 0.54],[0.28 0.61 0.68 0.55 0.62],[0.19 0.62 0.66 0.55 0.58]
2977,Yellow lemon with sticker .,lemon_5_3,0,[0 1 4 3 2],lemon_5_3,['lemon_5_3' 'onion_5_1' 'band_aid_4_2' 'potato_5_1' 'measuring_tape_3_4'],[0.18 0.36 0.61 0.57 0.37],[0.17 0.44 0.68 0.54 0.51],[0.18 0.4  0.65 0.55 0.44],[0.35 0.35 0.48 0.37 0.43],[0.26 0.37 0.56 0.46 0.43]
2978,This is a lemon.,lemon_5_3,0,[0 4 3 2 1],lemon_5_3,"['lemon_5_3' 'toothbrush_2_1' 'screwdriver_2_1' 'cell_phone_2_2'
 'stapler_2_3']",[0.16 0.72 0.59 0.61 0.52],[0.11 0.52 0.62 0.57 0.43],[0.14 0.62 0.61 0.59 0.48],[0.37 0.54 0.49 0.49 0.44],[0.25 0.58 0.55 0.54 0.46]
2979,This is a lemon.  It has a blue label.,lemon_5_3,0,[0 4 3 2 1],lemon_5_3,['lemon_5_3' 'soda_bottle_3_2' 'fork_4_2' 'plate_4_2' 'scissors_3_3'],[0.21 0.62 0.59 0.54 0.44],[0.18 0.57 0.51 0.55 0.48],[0.19 0.59 0.55 0.55 0.46],[0.29 0.45 0.59 0.59 0.38],[0.24 0.52 0.57 0.57 0.42]
2980,A regular sized yellow lemon. one side of the lemon has a small sticker on it.,lemon_5_3,1,[1 3 0 2 4],lime_2_3,['lemon_5_3' 'coffee_mug_5_1' 'lime_2_3' 'lightbulb_2_2' 'shampoo_4_2'],[0.16 0.51 0.13 0.46 0.58],[0.16 0.51 0.17 0.54 0.64],[0.16 0.51 0.15 0.5  0.61],[0.22 0.54 0.19 0.57 0.7 ],[0.19 0.53 0.17 0.53 0.65]
2981,It is a yellow lemon with a sticker on it.,lemon_5_3,0,[0 2 1 4 3],lemon_5_3,"['lemon_5_3' 'can_opener_1_4' 'marker_4_3' 'sponge_1_3'
 'measuring_tape_1_3']",[0.17 0.49 0.48 0.63 0.67],[0.19 0.53 0.41 0.86 0.67],[0.18 0.51 0.45 0.75 0.67],[0.18 0.41 0.44 0.69 0.56],[0.18 0.46 0.45 0.72 0.62]
2982,This is a lemon.,lemon_5_3,0,[0 1 4 2 3],lemon_5_3,"['lemon_5_3' 'toothbrush_1_1' 'screwdriver_2_2' 'screwdriver_1_3'
 'bowl_1_4']",[0.16 0.39 0.51 0.43 0.54],[0.11 0.44 0.75 0.42 0.6 ],[0.14 0.42 0.63 0.43 0.57],[0.2  0.41 0.54 0.4  0.58],[0.17 0.41 0.58 0.41 0.58]
2983,It is a yellow lemon with a sticker on the top of it.,lemon_5_3,0,[0 3 4 2 1],lemon_5_3,['lemon_5_3' 'stapler_3_2' 'toothpaste_2_4' 'flashlight_2_3' 'plate_2_1'],[0.2  0.65 0.74 0.58 0.55],[0.25 0.55 0.68 0.61 0.55],[0.22 0.6  0.71 0.6  0.55],[0.19 0.62 0.78 0.66 0.59],[0.21 0.61 0.74 0.63 0.57]
2984,The object is a yellow lemon.,lemon_5_3,0,[0 2 3 4 1],lemon_5_3,"['lemon_5_3' 'fork_3_4' 'soda_bottle_5_4' 'medicine_bottle_5_2'
 'syringe_3_1']",[0.15 0.55 0.62 0.71 0.46],[0.13 0.43 0.67 0.72 0.49],[0.14 0.49 0.64 0.72 0.47],[0.38 0.42 0.41 0.56 0.61],[0.26 0.45 0.53 0.64 0.54]
2985,This is a lemon.,lemon_5_3,0,[0 2 1 3 4],lemon_5_3,['lemon_5_3' 'scissors_4_1' 'pencil_1_1' 'pliers_4_1' 'food_jar_3_2'],[0.16 0.57 0.49 0.62 0.67],[0.11 0.6  0.46 0.61 0.82],[0.14 0.59 0.48 0.62 0.74],[0.23 0.66 0.38 0.56 0.57],[0.18 0.62 0.43 0.59 0.66]
2986,LEMON IS AN FRUIT ITEM.IT USE TO COOKING AND TO MAKE JUICE,lemon_5_3,0,[0 3 4 2 1],lemon_5_3,"['lemon_5_3' 'allen_wrench_4_3' 'toothpaste_5_2' 'lime_1_1'
 'bell_pepper_5_1']",[0.2  0.44 0.52 0.35 0.27],[0.24 0.44 0.49 0.38 0.33],[0.22 0.44 0.51 0.37 0.3 ],[0.31 0.34 0.43 0.36 0.34],[0.27 0.39 0.47 0.36 0.32]
2987,A large brown potato.,potato_5_1,0,[0 4 3 2 1],potato_5_1,['potato_5_1' 'band_aid_2_4' 'food_jar_3_2' 'lemon_3_4' 'pill_cutter_1_4'],[0.11 0.62 0.63 0.48 0.3 ],[0.12 0.64 0.6  0.32 0.44],[0.12 0.63 0.62 0.4  0.37],[0.27 0.62 0.47 0.47 0.49],[0.19 0.63 0.54 0.43 0.43]
2988,This is a yam,potato_5_1,0,[0 4 1 3 2],potato_5_1,"['potato_5_1' 'picture_frame_5_1' 'band_aid_1_4' 'scissors_1_3'
 'coffee_mug_3_1']",[0.32 0.59 0.37 0.61 0.48],[0.28 0.59 0.62 0.47 0.53],[0.3  0.59 0.49 0.54 0.51],[0.23 0.49 0.37 0.6  0.31],[0.27 0.54 0.43 0.57 0.41]
2989,This is a sweet potato.,potato_5_1,0,[0 4 2 1 3],potato_5_1,['potato_5_1' 'banana_3_4' 'shampoo_4_2' 'plate_5_4' 'water_bottle_4_1'],[0.12 0.58 0.46 0.51 0.63],[0.13 0.58 0.48 0.35 0.47],[0.12 0.58 0.47 0.43 0.55],[0.35 0.54 0.29 0.44 0.28],[0.24 0.56 0.38 0.44 0.42]
2990,A sweet potato. It is red.,potato_5_1,0,[0 3 4 2 1],potato_5_1,"['potato_5_1' 'picture_frame_3_1' 'hammer_6_2' 'shampoo_1_2'
 'measuring_tape_5_2']",[0.12 0.64 0.65 0.56 0.49],[0.14 0.58 0.74 0.58 0.45],[0.13 0.61 0.7  0.57 0.47],[0.22 0.62 0.73 0.6  0.49],[0.18 0.61 0.71 0.59 0.48]
2991,"The object is a sweet potato, or yam. It is a root vegetable, orange inside with brownish orange skin outside.",potato_5_1,0,[0 1 3 4 2],potato_5_1,['potato_5_1' 'apple_5_4' 'water_bottle_5_1' 'book_5_4' 'bell_pepper_2_2'],[0.22 0.29 0.46 0.6  0.47],[0.22 0.36 0.54 0.61 0.45],[0.22 0.32 0.5  0.61 0.46],[0.5  0.53 0.47 0.31 0.39],[0.36 0.42 0.49 0.46 0.43]
2992,This is a sweet potato. It is orange with a brown tip at each end. It is about 4 inches long and 2 inches high and very round.,potato_5_1,0,[0 3 4 2 1],potato_5_1,"['potato_5_1' 'water_bottle_4_1' 'band_aid_2_4'
 'prescription_medicine_bottle_1_3' 'fork_4_2']",[0.28 0.62 0.77 0.46 0.5 ],[0.26 0.45 0.81 0.59 0.46],[0.27 0.53 0.79 0.53 0.48],[0.4  0.38 0.66 0.52 0.48],[0.33 0.46 0.73 0.52 0.48]
2993,"It's a giant, unwashed yam.",potato_5_1,0,[0 3 2 1 4],potato_5_1,['potato_5_1' 'lime_4_2' 'toothbrush_4_1' 'notebook_1_1' 'toothbrush_4_2'],[0.2  0.59 0.47 0.51 0.55],[0.18 0.5  0.53 0.45 0.6 ],[0.19 0.55 0.5  0.48 0.57],[0.2  0.67 0.52 0.48 0.67],[0.2  0.61 0.51 0.48 0.62]
2994,I can most often tell by the color on the inside but this looks like it could either be a sweet potato or a yam. It is another type of root like the potato but this one is very sweet and thicker than the common potato.,potato_5_1,0,[0 4 3 2 1],potato_5_1,"['potato_5_1' 'scissors_2_3' 'prescription_medicine_bottle_3_3'
 'toothpaste_1_3' 'bowl_1_4']",[0.19 0.66 0.61 0.55 0.31],[0.21 0.59 0.5  0.41 0.35],[0.2  0.62 0.56 0.48 0.33],[0.53 0.64 0.45 0.43 0.41],[0.37 0.63 0.5  0.45 0.37]
2995,The object is a sweet potato. It is orange.,potato_5_1,0,[0 3 1 4 2],potato_5_1,"['potato_5_1' 'can_opener_4_1' 'medicine_bottle_3_4' 'toothpaste_2_4'
 'screwdriver_2_1']",[0.17 0.67 0.44 0.68 0.59],[0.2  0.57 0.41 0.58 0.54],[0.18 0.62 0.43 0.63 0.57],[0.47 0.41 0.48 0.3  0.5 ],[0.33 0.51 0.45 0.46 0.54]
2996,An unpeeled sweet potato.,potato_5_1,0,[0 2 3 4 1],potato_5_1,['potato_5_1' 'food_can_1_4' 'band_aid_1_1' 'eye_glasses_3_4' 'apple_1_5'],[0.18 0.46 0.46 0.66 0.45],[0.2  0.49 0.61 0.55 0.43],[0.19 0.48 0.53 0.61 0.44],[0.23 0.45 0.46 0.62 0.47],[0.21 0.46 0.5  0.62 0.46]
2997,This is a bananna.,banana_5_4,0,[0 4 1 3 2],banana_5_4,"['banana_5_4' 'allen_wrench_2_3' 'hammer_1_3' 'soda_bottle_5_2'
 'water_bottle_3_3']",[0.27 0.52 0.35 0.47 0.39],[0.31 0.52 0.37 0.42 0.43],[0.29 0.52 0.36 0.44 0.41],[0.38 0.43 0.4  0.39 0.41],[0.34 0.48 0.38 0.42 0.41]
2998,This is a natural yellow fruit.  The banana is slightly bruised.,banana_5_4,0,[0 1 3 4 2],banana_5_4,['banana_5_4' 'soda_bottle_5_2' 'syringe_5_3' 'pencil_1_1' 'bowl_2_3'],[0.33 0.47 0.57 0.54 0.4 ],[0.39 0.43 0.54 0.6  0.53],[0.36 0.45 0.55 0.57 0.46],[0.4  0.35 0.5  0.48 0.48],[0.38 0.4  0.53 0.52 0.47]
2999,I see an banana on the table.,banana_5_4,0,[0 3 2 4 1],banana_5_4,"['banana_5_4' 'eye_glasses_3_4' 'marker_6_3' 'pencil_1_1'
 'water_bottle_4_1']",[0.33 0.58 0.54 0.58 0.52],[0.32 0.47 0.48 0.58 0.42],[0.32 0.53 0.51 0.58 0.47],[0.42 0.6  0.48 0.58 0.58],[0.37 0.56 0.5  0.58 0.52]
3000,This is a banana,banana_5_4,1,[1 3 2 4 0],lemon_4_4,['banana_5_4' 'book_1_4' 'hammer_6_2' 'toothpaste_3_1' 'lemon_4_4'],[0.32 0.5  0.45 0.52 0.23],[0.33 0.57 0.33 0.56 0.34],[0.33 0.54 0.39 0.54 0.29],[0.41 0.6  0.43 0.49 0.43],[0.37 0.57 0.41 0.52 0.36]
3001,"It's a long, straight banana with rotten spots on the end.",banana_5_4,1,[1 4 2 0 3],lemon_5_3,['banana_5_4' 'mouse_3_3' 'allen_wrench_4_3' 'lemon_5_3' 'pliers_2_3'],[0.4  0.62 0.42 0.2  0.49],[0.4  0.47 0.39 0.27 0.46],[0.4  0.54 0.4  0.24 0.47],[0.48 0.5  0.48 0.25 0.61],[0.44 0.52 0.44 0.24 0.54]
3002,"This is a banana, about 6-7 inches long. It has a small black bruise near the bottom and a somewhat prominent scratch along the middle of the back.",banana_5_4,0,[0 3 2 1 4],banana_5_4,['banana_5_4' 'marker_2_1' 'scissors_2_3' 'plate_3_1' 'soda_bottle_4_1'],[0.29 0.45 0.44 0.35 0.48],[0.27 0.36 0.35 0.33 0.48],[0.28 0.41 0.39 0.34 0.48],[0.42 0.52 0.45 0.54 0.42],[0.35 0.46 0.42 0.44 0.45]
3003,It is a banana.  It has some dark brown bruising.,banana_5_4,0,[0 4 1 3 2],banana_5_4,['banana_5_4' 'sponge_1_3' 'lemon_5_3' 'stapler_4_4' 'cap_1_2'],[0.27 0.42 0.28 0.37 0.29],[0.25 0.5  0.28 0.4  0.39],[0.26 0.46 0.28 0.39 0.34],[0.5  0.53 0.3  0.45 0.5 ],[0.38 0.5  0.29 0.42 0.42]
3004,A slightly bruised banana.,banana_5_4,0,[0 4 1 3 2],banana_5_4,"['banana_5_4' 'pencil_2_1' 'cell_phone_1_2' 'food_can_4_3'
 'medicine_bottle_1_4']",[0.33 0.55 0.47 0.51 0.54],[0.32 0.57 0.48 0.55 0.46],[0.33 0.56 0.47 0.53 0.5 ],[0.48 0.51 0.56 0.67 0.59],[0.4  0.53 0.52 0.6  0.54]
3005,A yellow banana with some dark spots on the peel.,banana_5_4,0,[0 1 2 3 4],banana_5_4,['banana_5_4' 'lemon_2_4' 'water_bottle_3_3' 'syringe_5_3' 'pliers_1_3'],[0.29 0.3  0.49 0.53 0.54],[0.32 0.31 0.47 0.54 0.65],[0.3  0.31 0.48 0.54 0.6 ],[0.48 0.31 0.48 0.43 0.44],[0.39 0.31 0.48 0.48 0.52]
3006,This is a single yellow banana.,banana_5_4,0,[0 3 2 4 1],banana_5_4,"['banana_5_4' 'pencil_4_4' 'syringe_5_1' 'medicine_bottle_3_4'
 'hand_towel_3_4']",[0.31 0.59 0.55 0.67 0.45],[0.35 0.61 0.57 0.6  0.44],[0.33 0.6  0.56 0.63 0.45],[0.45 0.4  0.46 0.47 0.56],[0.39 0.5  0.51 0.55 0.5 ]
3007,Metal screw driver with black and red handle.,screwdriver_5_1,3,[3 4 0 1 2],can_opener_4_1,"['screwdriver_5_1' 'medicine_bottle_1_4' 'can_opener_4_1' 'marker_3_1'
 'marker_3_1']",[0.57 0.6  0.22 0.45 0.45],[0.43 0.57 0.27 0.47 0.47],[0.5  0.59 0.24 0.46 0.46],[0.52 0.57 0.45 0.49 0.49],[0.51 0.58 0.35 0.47 0.47]
3008,Black computer mouse.,mouse_2_3,0,[0 1 3 2 4],mouse_2_3,['mouse_2_3' 'flashlight_3_4' 'gauze_2_3' 'spoon_1_3' 'food_jar_4_1'],[0.19 0.32 0.56 0.43 0.55],[0.29 0.41 0.49 0.5  0.56],[0.24 0.37 0.52 0.46 0.55],[0.24 0.48 0.49 0.43 0.32],[0.24 0.42 0.51 0.45 0.44]
3009,A very small screwdriver that is red and black in color,screwdriver_5_1,3,[3 2 4 1 0],pliers_4_1,['screwdriver_5_1' 'hammer_3_3' 'band_aid_1_4' 'scissors_6_1' 'pliers_4_1'],[0.46 0.4  0.5  0.35 0.23],[0.41 0.32 0.57 0.33 0.17],[0.44 0.36 0.54 0.34 0.2 ],[0.37 0.32 0.55 0.28 0.26],[0.41 0.34 0.55 0.31 0.23]
3010,A black mouse with a wired cord.,mouse_2_3,0,[0 3 2 1 4],mouse_2_3,['mouse_2_3' 'book_3_1' 'fork_4_2' 'apple_2_3' 'shampoo_2_2'],[0.22 0.52 0.53 0.51 0.58],[0.34 0.56 0.43 0.39 0.57],[0.28 0.54 0.48 0.45 0.57],[0.33 0.27 0.45 0.62 0.32],[0.3  0.4  0.47 0.53 0.45]
3011,There is a very small screw driver. The handle is red and black.,screwdriver_5_1,1,[1 2 0 4 3],spoon_4_2,"['screwdriver_5_1' 'stapler_4_4' 'spoon_4_2' 'lightbulb_1_4'
 'allen_wrench_2_2']",[0.5  0.43 0.38 0.72 0.51],[0.39 0.48 0.5  0.49 0.47],[0.45 0.46 0.44 0.6  0.49],[0.52 0.54 0.42 0.69 0.6 ],[0.48 0.5  0.43 0.65 0.55]
3012,There is a mouse. It is black and has a long cord attached.,mouse_2_3,0,[0 3 1 4 2],mouse_2_3,['mouse_2_3' 'lightbulb_4_3' 'hammer_4_2' 'band_aid_1_4' 'banana_4_1'],[0.23 0.39 0.32 0.49 0.44],[0.28 0.47 0.4  0.49 0.4 ],[0.26 0.43 0.36 0.49 0.42],[0.26 0.43 0.37 0.6  0.35],[0.26 0.43 0.37 0.55 0.39]
3013,This is portable screwdriver. It is suitable for repair tasks.,screwdriver_5_1,1,[1 0 3 4 2],pliers_4_1,"['screwdriver_5_1' 'pliers_4_1' 'gauze_2_2' 'medicine_bottle_5_2'
 'soda_bottle_4_3']",[0.47 0.26 0.65 0.55 0.52],[0.34 0.24 0.42 0.56 0.48],[0.4  0.25 0.54 0.55 0.5 ],[0.44 0.37 0.55 0.5  0.38],[0.42 0.31 0.55 0.53 0.44]
3014,This is computer mouse. It has two buttons and a scroll wheel.,mouse_2_3,0,[0 2 1 4 3],mouse_2_3,['mouse_2_3' 'cap_1_2' 'pliers_4_1' 'lightbulb_2_4' 'book_1_4'],[0.18 0.36 0.37 0.52 0.48],[0.25 0.46 0.38 0.48 0.46],[0.21 0.41 0.37 0.5  0.47],[0.39 0.38 0.48 0.35 0.57],[0.3  0.4  0.43 0.42 0.52]
3015,This is a small awl. It has a plump black and red handle.,screwdriver_5_1,0,[0 1 2 3 4],screwdriver_5_1,['screwdriver_5_1' 'pencil_4_4' 'stapler_5_4' 'stapler_5_4' 'bowl_4_2'],[0.48 0.42 0.58 0.58 0.46],[0.4  0.55 0.39 0.39 0.52],[0.44 0.48 0.48 0.48 0.49],[0.56 0.33 0.43 0.43 0.5 ],[0.5  0.41 0.46 0.46 0.49]
3016,This is a plug-in computer mouse. It is black in color and two sided.,mouse_2_3,0,[0 3 4 2 1],mouse_2_3,['mouse_2_3' 'cell_phone_1_2' 'shampoo_4_2' 'lightbulb_3_3' 'potato_1_1'],[0.18 0.49 0.55 0.49 0.41],[0.31 0.53 0.63 0.44 0.47],[0.25 0.51 0.59 0.46 0.44],[0.46 0.52 0.33 0.52 0.53],[0.35 0.52 0.46 0.49 0.49]
3017,The item has a red and black plastic handle.  This is a tool made of both metal and plastic.,screwdriver_5_1,1,[1 0 3 2 4],flashlight_2_1,"['screwdriver_5_1' 'flashlight_2_1' 'prescription_medicine_bottle_3_3'
 'food_can_2_2' 'medicine_bottle_3_4']",[0.49 0.3  0.54 0.52 0.66],[0.38 0.39 0.66 0.53 0.59],[0.44 0.35 0.6  0.53 0.63],[0.5  0.46 0.66 0.57 0.69],[0.47 0.4  0.63 0.55 0.66]
3018,This is an electronic item used to control a computer.  This item is gray.,mouse_2_3,0,[0 2 1 4 3],mouse_2_3,"['mouse_2_3' 'pencil_1_1' 'lightbulb_3_3' 'water_bottle_2_4'
 'screwdriver_2_2']",[0.27 0.47 0.5  0.69 0.59],[0.41 0.46 0.41 0.66 0.63],[0.34 0.47 0.45 0.67 0.61],[0.37 0.47 0.42 0.45 0.67],[0.36 0.47 0.43 0.56 0.64]
3019,This is a red and black screwdriver.,screwdriver_5_1,4,[4 3 1 2 0],toothbrush_5_3,"['screwdriver_5_1' 'can_opener_3_4' 'hammer_1_3' 'scissors_4_1'
 'toothbrush_5_3']",[0.54 0.39 0.4  0.42 0.3 ],[0.49 0.49 0.4  0.45 0.46],[0.52 0.44 0.4  0.43 0.38],[0.55 0.47 0.44 0.42 0.36],[0.53 0.45 0.42 0.43 0.37]
3020,This is a mouse with a cable.,mouse_2_3,0,[0 1 2 3 4],mouse_2_3,"['mouse_2_3' 'measuring_tape_4_1' 'toothbrush_5_3' 'stapler_4_4'
 'syringe_5_3']",[0.18 0.4  0.48 0.45 0.54],[0.29 0.37 0.41 0.46 0.56],[0.23 0.39 0.45 0.46 0.55],[0.39 0.49 0.33 0.36 0.42],[0.31 0.44 0.39 0.41 0.48]
3021,This is a small black and red handled screw driver,screwdriver_5_1,0,[0 2 1 3 4],screwdriver_5_1,"['screwdriver_5_1' 'medicine_bottle_1_4' 'medicine_bottle_5_2'
 'pencil_1_3' 'band_aid_5_3']",[0.45 0.51 0.48 0.51 0.55],[0.34 0.51 0.53 0.52 0.55],[0.39 0.51 0.5  0.52 0.55],[0.41 0.73 0.72 0.52 0.63],[0.4  0.62 0.61 0.52 0.59]
3022,This is a computer mouse with wire connectors,mouse_2_3,0,[0 3 1 4 2],mouse_2_3,"['mouse_2_3' 'allen_wrench_2_2' 'plate_3_1'
 'prescription_medicine_bottle_3_3' 'potato_1_1']",[0.16 0.55 0.44 0.58 0.42],[0.27 0.47 0.38 0.58 0.51],[0.21 0.51 0.41 0.58 0.47],[0.35 0.58 0.49 0.45 0.52],[0.28 0.54 0.45 0.51 0.49]
3023,"It is a small screwdriver.  It has a black and red, plastic handle.",screwdriver_5_1,3,[3 4 0 1 2],scissors_3_3,"['screwdriver_5_1' 'lightbulb_2_4' 'scissors_3_3' 'shampoo_1_2'
 'coffee_mug_4_3']",[0.57 0.69 0.46 0.58 0.46],[0.5  0.55 0.51 0.41 0.55],[0.53 0.62 0.48 0.49 0.51],[0.54 0.53 0.41 0.48 0.43],[0.54 0.57 0.45 0.49 0.47]
3024,It is a computer mouse. It is black and has a cord that attaches it to the computer.,mouse_2_3,0,[0 4 1 3 2],mouse_2_3,['mouse_2_3' 'book_5_4' 'marker_5_2' 'food_jar_2_3' 'fork_2_3'],[0.19 0.59 0.46 0.6  0.55],[0.33 0.57 0.49 0.56 0.47],[0.26 0.58 0.48 0.58 0.51],[0.44 0.56 0.37 0.59 0.32],[0.35 0.57 0.42 0.58 0.41]
3025,nan,screwdriver_5_1,0,[0 2 3 4 1],screwdriver_5_1,"['screwdriver_5_1' 'picture_frame_3_1' 'fork_5_1' 'food_jar_3_2'
 'prescription_medicine_bottle_3_3']",[0.36 0.38 0.37 0.43 0.34],[0.29 0.36 0.41 0.44 0.34],[0.33 0.37 0.39 0.44 0.34],[0.45 0.55 0.54 0.64 0.63],[0.39 0.46 0.47 0.54 0.49]
3026,This is a computer mouse. It has a USB cable.,mouse_2_3,0,[0 4 3 2 1],mouse_2_3,"['mouse_2_3' 'apple_5_4' 'pliers_2_3' 'eye_glasses_2_3'
 'measuring_tape_2_1']",[0.17 0.57 0.49 0.5  0.39],[0.28 0.53 0.51 0.35 0.47],[0.22 0.55 0.5  0.43 0.43],[0.42 0.59 0.37 0.38 0.38],[0.32 0.57 0.43 0.4  0.41]
3027,Black computer mouse.,mouse_3_3,0,[0 3 2 4 1],mouse_3_3,['mouse_3_3' 'screwdriver_4_3' 'onion_2_1' 'shampoo_4_2' 'syringe_2_4'],[0.23 0.56 0.48 0.51 0.48],[0.4  0.51 0.55 0.59 0.52],[0.31 0.54 0.51 0.55 0.5 ],[0.37 0.48 0.38 0.55 0.36],[0.34 0.51 0.45 0.55 0.43]
3028,There is a black mouse. The mouse has a long cord attached.,mouse_3_3,0,[0 1 2 3 4],mouse_3_3,['mouse_3_3' 'pencil_4_4' 'lime_1_1' 'medicine_bottle_4_2' 'lemon_5_3'],[0.27 0.42 0.53 0.54 0.59],[0.39 0.43 0.52 0.56 0.58],[0.33 0.42 0.52 0.55 0.58],[0.29 0.43 0.41 0.4  0.53],[0.31 0.42 0.47 0.48 0.56]
3029,It is a computer mouse with cord.,mouse_3_3,0,[0 2 4 1 3],mouse_3_3,['mouse_3_3' 'cap_1_2' 'stapler_5_4' 'pencil_2_1' 'pencil_1_1'],[0.23 0.37 0.59 0.43 0.44],[0.42 0.5  0.43 0.38 0.51],[0.33 0.43 0.51 0.41 0.47],[0.25 0.34 0.4  0.45 0.51],[0.29 0.39 0.46 0.43 0.49]
3030,This is a mouse. It is a wired mouse and black in color.,mouse_3_3,0,[0 3 4 2 1],mouse_3_3,"['mouse_3_3' 'water_bottle_4_1' 'water_bottle_4_1' 'picture_frame_2_1'
 'flashlight_2_1']",[0.26 0.58 0.58 0.39 0.42],[0.46 0.61 0.61 0.46 0.35],[0.36 0.59 0.59 0.42 0.39],[0.4  0.31 0.31 0.36 0.42],[0.38 0.45 0.45 0.39 0.4 ]
3031,A black corded mouse with the cord wound in circles.,mouse_3_3,2,[2 4 3 1 0],measuring_tape_4_1,['mouse_3_3' 'lemon_5_3' 'lightbulb_3_3' 'marker_4_3' 'measuring_tape_4_1'],[0.32 0.54 0.38 0.4  0.32],[0.47 0.53 0.45 0.35 0.41],[0.39 0.53 0.41 0.38 0.37],[0.37 0.67 0.54 0.4  0.42],[0.38 0.6  0.48 0.39 0.39]
3032,This is a wired mouse,mouse_3_3,0,[0 2 4 3 1],mouse_3_3,"['mouse_3_3' 'lightbulb_2_4' 'food_jar_3_2' 'food_can_3_3'
 'measuring_tape_2_4']",[0.24 0.4  0.51 0.43 0.31],[0.45 0.45 0.46 0.46 0.45],[0.35 0.43 0.48 0.44 0.38],[0.4  0.39 0.34 0.29 0.41],[0.38 0.41 0.41 0.36 0.39]
3033,It is a black compute mouse. It is wired and is a usb plugin.,mouse_3_3,0,[0 2 3 4 1],mouse_3_3,['mouse_3_3' 'hand_towel_1_4' 'syringe_4_1' 'lightbulb_5_2' 'pencil_5_2'],[0.2  0.59 0.58 0.67 0.51],[0.45 0.44 0.56 0.57 0.45],[0.32 0.52 0.57 0.62 0.48],[0.43 0.5  0.31 0.52 0.36],[0.37 0.51 0.44 0.57 0.42]
3034,"A computer mouse is a handheld hardware input device that controls a cursor in a GUI and can move and select text, icons, files, and folders",mouse_3_3,0,[0 4 2 3 1],mouse_3_3,['mouse_3_3' 'fork_3_4' 'apple_3_4' 'lightbulb_3_3' 'coffee_mug_1_1'],[0.22 0.51 0.48 0.49 0.41],[0.41 0.55 0.44 0.46 0.45],[0.32 0.53 0.46 0.47 0.43],[0.36 0.4  0.57 0.51 0.47],[0.34 0.46 0.51 0.49 0.45]
3035,THIS IS A WIRED MOUSE. IT WILL BE CONNECTED TO THE COMPUTER,mouse_3_3,0,[0 3 2 1 4],mouse_3_3,['mouse_3_3' 'fork_2_3' 'notebook_2_4' 'allen_wrench_3_3' 'lemon_2_4'],[0.24 0.6  0.37 0.43 0.67],[0.45 0.53 0.54 0.44 0.66],[0.34 0.56 0.46 0.43 0.67],[0.46 0.45 0.44 0.25 0.64],[0.4  0.51 0.45 0.34 0.66]
3036,This is a computer mouse. It is black and has a cord.,mouse_3_3,0,[0 4 3 2 1],mouse_3_3,['mouse_3_3' 'bowl_1_4' 'potato_2_1' 'food_can_5_2' 'hand_towel_2_3'],[0.23 0.65 0.51 0.47 0.42],[0.4  0.67 0.48 0.43 0.34],[0.32 0.66 0.49 0.45 0.38],[0.29 0.48 0.5  0.44 0.29],[0.3  0.57 0.5  0.44 0.33]
3037,A tube of toothpaste with blue and white coloring.,toothpaste_3_1,0,[0 3 2 4 1],toothpaste_3_1,['toothpaste_3_1' 'lightbulb_1_4' 'can_opener_4_4' 'bowl_5_4' 'plate_3_1'],[0.36 0.45 0.48 0.58 0.49],[0.39 0.57 0.51 0.54 0.48],[0.38 0.51 0.49 0.56 0.49],[0.31 0.39 0.38 0.4  0.34],[0.34 0.45 0.44 0.48 0.42]
3038,A white and blue tube of toothpaste.,toothpaste_3_1,0,[0 4 3 1 2],toothpaste_3_1,"['toothpaste_3_1' 'apple_3_4' 'food_can_5_2' 'book_1_4'
 'measuring_tape_4_1']",[0.33 0.83 0.71 0.51 0.65],[0.38 0.67 0.69 0.31 0.63],[0.35 0.75 0.7  0.41 0.64],[0.37 0.7  0.59 0.37 0.64],[0.36 0.72 0.65 0.39 0.64]
3039,I see tooth paste on the table.,toothpaste_3_1,0,[0 3 1 4 2],toothpaste_3_1,"['toothpaste_3_1' 'pencil_3_4' 'water_bottle_5_4' 'soda_bottle_2_4'
 'water_bottle_3_3']",[0.29 0.49 0.41 0.64 0.52],[0.32 0.65 0.56 0.65 0.6 ],[0.31 0.57 0.49 0.64 0.56],[0.28 0.45 0.57 0.72 0.72],[0.29 0.51 0.53 0.68 0.64]
